"Director.Name","Birthday","Age","Birthplace","Movie.Title","title","credits","grade","fir_year","year","tomatometer","audience_score","box_office","content_metadataGenres","content_metadataProps","criticsScore_likedCount","criticsScore_notLikedCount","criticsScore_ratingCount","overlay_criticsTop_likedCount","overlay_criticsTop_notLikedCount","overlay_criticsTop_ratingCount","overlay_mediaType","Action","Mystery_._Thriller","Kids_._Family","Adventure","Drama","Documentary","Biography","Sci.Fi","Fantasy","Comedy","Animation","Romance","Crime","Reality","Talk_Show","Sports","Health_._Wellness","News","Music","Entertainment","Travel","War","History","Western","Holiday","Other","LGBTQ.","Horror","Musical","Special_Interest","Variety","Sports_._Fitness","Anime"
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Stallone: Frank, That Is","Unknown (Character)",NA,2020,"2020","60","67",NA,"Documentary","2020, 1h 13m",6,4,10,1,0,1,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Rambo: Last Blood","John Rambo (Character),Screenwriter","R",2019,"2019","26","81","44797324","Action","R, Released Sep 20, 2019, 1h 29m",45,128,173,6,26,32,"Movie",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Escape Plan: The Extractors","Ray Breslin (Character)","R",2019,"2019","No Score Yet","13",NA,"Action","R, 2019, 1h 30m",1,0,1,0,0,0,"Movie",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Backtrace","Sykes (Character)","R",2018,"2018","9","23",NA,"Action, Mystery & Thriller","R, Released Dec 14, 2018, 1h 27m",1,10,11,1,2,3,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Creed II","Rocky Balboa (Character),Screenwriter,Producer","PG-13",2018,"2018","83","80","115715229","Drama, Action","PG-13, Released Nov 21, 2018, 2h 10m",259,53,312,61,10,71,"Movie",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Escape Plan 2: Hades","Ray Breslin (Character)","R",2018,"2018","7","15",NA,"Action, Mystery & Thriller","R, Released Jun 29, 2018, 1h 34m",2,25,27,0,5,5,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Animal Crackers","Bullet-Man (Voice)",NA,2017,"2017","67","77",NA,"Adventure, Animation","2017, 1h 34m",14,7,21,3,2,5,"Movie",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","John G. Avildsen: King of the Underdogs","Self",NA,2017,"2017","No Score Yet","100",NA,"Documentary","Released Aug 1, 2017, 1h 18m",3,0,3,1,0,1,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Guardians of the Galaxy Vol. 2","Stakar Ogord (Character)","PG-13",2017,"2017","85","87","389804217","Sci-Fi, Adventure, Action, Fantasy, Comedy","PG-13, Released May 5, 2017, 2h 15m",362,62,424,58,23,81,"Movie",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Ratchet & Clank","Victor Von Ion (Voice)","PG",2016,"2016","22","42","8800908","Kids & Family, Comedy, Adventure, Action, Sci-Fi, Animation","PG, Released Apr 29, 2016, 1h 34m",18,64,82,4,23,27,"Movie",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Creed","Rocky Balboa (Character),Producer","PG-13",2015,"2015","95","89","109712885","Drama","PG-13, Released Nov 25, 2015, 2h 13m",298,15,313,65,7,72,"Movie",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Reach Me","Gerald (Character)","PG-13",2014,"2014","4","47",NA,"Drama","PG-13, Released Nov 21, 2014, 1h 35m",1,22,23,0,13,13,"Movie",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","The Expendables 3","Barney Ross (Character),Screenwriter","PG-13",2014,"2014","32","48","39292022","Action, Mystery & Thriller, Adventure","PG-13, Released Aug 15, 2014, 2h 7m",56,118,174,10,39,49,"Movie",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","The Go-Go Boys: The Inside Story of Cannon Films","Unknown (Character)",NA,2014,"2014","No Score Yet","60",NA,"Documentary","2014, 1h 30m",1,0,1,0,0,0,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Grudge Match","Henry ""Razor"" Sharp (Character)","PG-13",2013,"2013","31","46","29802761","Comedy","PG-13, Released Dec 25, 2013, 1h 53m",44,98,142,5,39,44,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Homefront","Screenwriter,Producer","R",2013,"2013","42","61","20097928","Action, Mystery & Thriller","R, Released Nov 27, 2013, 1h 40m",48,66,114,7,31,38,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Escape Plan","Ray Breslin (Character)","R",2013,"2013","50","55","25121291","Action, Mystery & Thriller","R, Released Oct 18, 2013, 1h 50m",59,58,117,13,22,35,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Bullet to the Head","Jimmy Bobo (James Bonomo) (Character)","R",2012,"2012","45","39","9483821","Action, Mystery & Thriller","R, Released Feb 1, 2013, 1h 31m",65,81,146,13,29,42,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","The Expendables 2","Barney Ross (Character),Screenwriter","R",2012,"2012","68","67","85017401","Action, Adventure, Mystery & Thriller","R, Released Aug 17, 2012, 1h 43m",90,43,133,20,14,34,"Movie",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Zookeeper","Joe the Lion (Voice)","PG",2011,"2011","14","41","80360866","Comedy, Fantasy","PG, Released Jul 8, 2011, 1h 41m",18,114,132,7,40,47,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","The Expendables","Barney Ross (Character),Director,Screenwriter","R",2010,"2010","42","64","102981571","Action, Adventure, Mystery & Thriller","R, Released Aug 13, 2010, 1h 43m",87,121,208,21,36,57,"Movie",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Incredible Love","Self",NA,2009,"2009","No Score Yet","31","1445739","Romance, Comedy, Action","2009, 2h 22m",0,2,2,0,2,2,"Movie",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Amerika Idol","Unknown (Character)",NA,2009,"2009","No Score Yet","67",NA,"Documentary","2009, 46m",0,0,0,0,0,0,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Rambo","John Rambo (Character),Director,Screenwriter,Producer","R",2008,"2008","38","69","42724402","Action, Adventure","R, Released Jan 25, 2008, 1h 31m",57,93,150,9,33,42,"Movie",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Rocky Balboa","Rocky (Character),Director,Writer","PG",2006,"2006","78","76","70269171","Drama","PG, Released Dec 20, 2006, 1h 42m",142,40,182,30,14,44,"Movie",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Shade","Dean ""The Dean"" Stevens (Character)","R",2003,"2003","67","58","24669","Mystery & Thriller, Crime, Drama","R, 2003, 1h 41m",10,5,15,2,1,3,"Movie",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Spy Kids 3: Game Over","The Toymaker (Character)","PG",2003,"2003","45","25","111760631","Kids & Family, Adventure, Action, Fantasy, Comedy","PG, Released Jul 23, 2003, 1h 29m",61,75,136,14,22,36,"Movie",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Eye See You","Jake Malloy (Character)","R",2002,"2002","18","28",NA,"Mystery & Thriller","R, Released Jan 4, 2002, 1h 35m",4,18,22,1,5,6,"Movie",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Avenging Angelo","Frankie Delano (Character)","R",2002,"2002","13","33",NA,"Romance, Comedy, Action","R, 2002, 1h 36m",1,7,8,0,0,0,"Movie",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Driven","Joe Tanto (Character),Writer,Producer","PG-13",2001,"2001","14","33","32616869","Action","PG-13, Released Apr 27, 2001, 1h 57m",15,96,111,4,27,31,"Movie",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Get Carter","Jack Carter (Character)","R",2000,"2000","11","28","14967182","Mystery & Thriller","R, Released Oct 6, 2000, 1h 44m",7,55,62,1,19,20,"Movie",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Antz","Weaver (Voice)","PG",1998,"1998","92","52","90704660","Kids & Family, Romance, Comedy, Adventure, Fantasy, Animation","PG, Released Oct 2, 1998, 1h 27m",84,7,91,25,2,27,"Movie",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Cop Land","Sheriff Freddy Heflin (Character)","R",1997,"1997","75","67","44904450","Crime, Drama, Mystery & Thriller","R, Released Aug 15, 1997, 1h 45m",51,17,68,15,6,21,"Movie",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","An Alan Smithee Film: Burn, Hollywood, Burn","Self","R",1997,"1997","8","15","43904","Comedy","R, Released Feb 27, 1998, 1h 26m",3,35,38,1,10,11,"Movie",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sylvester Stallone","Jul 6, 1946","78","New York, New York, USA","Staying Alive","Daylight","Kit Latura (Character)","PG-13",1996,"1996","26","37","32885565","Action, Mystery & Thriller","PG-13, Released Dec 6, 1996, 1h 55m",11,31,42,2,11,13,"Movie",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
